CO_MUNICIPIO;doc_bas;doc_vinculo_contrat;pct_contratados
2210375;55;28;50.9
2209856;124;68;54.8
2210201;141;90;63.8
2200251;97;25;25.8
2200277;91;30;33
2204204;187;42;22.5
2206506;164;98;59.8
2208205;345;197;57.1
2209401;165;77;46.7
2210300;174;112;64.4
2202091;79;25;31.6
2202109;189;106;56.1
2202802;90;49;54.4
2209658;145;34;23.4
2204303;236;175;74.2
2204907;154;81;52.6
2205003;225;156;69.3
2211506;102;79;77.5
2205151;185;110;59.5
2205201;396;225;56.8
2206050;122;48;39.3
2202133;152;74;48.7
2205565;73;27;37
2205953;166;86;51.8
2201572;129;76;58.9
2207207;180;107;59.4
2204154;53;23;43.4
2211605;112;77;68.8
2207306;81;52;64.2
2207777;139;97;69.8
2201739;165;90;54.5
2200053;92;53;57.6
2207801;464;248;53.4
2208650;119;81;68.1
2209500;93;66;71
2203859;51;14;27.5
2202117;100;41;41
2202455;66;29;43.9
2210003;404;235;58.2
2207934;57;34;59.6
2208874;99;43;43.4
2207959;73;45;61.6
2205359;49;18;36.7
2202554;180;144;80
2210706;324;175;54
2203271;160;111;69.4
2210805;293;153;52.2
2201556;50;21;42
2210904;132;63;47.7
2300200;1053;555;52.7
2302057;237;45;19
2302305;510;252;49.4
2302602;1200;691;57.6
2303907;264;107;40.5
2304251;542;421;77.7
2304707;1022;553;54.1
2306553;722;343;47.5
2307254;352;241;68.5
2307809;518;189;36.5
2307908;269;86;32
2308906;383;255;66.6
2303402;304;166;54.6
2304236;478;320;66.9
2305001;870;346;39.8
2305308;554;255;46
2312304;975;418;42.9
2313401;1151;389;33.8
2313609;778;271;34.8
2314102;891;156;17.5
2304004;532;326;61.3
2304509;311;142;45.7
2308807;172;68;39.5
2313906;275;127;46.2
2300507;196;140;71.4
2308203;288;210;72.9
2303105;378;190;50.3
2304350;370;222;60
2304657;291;130;44.7
2304905;141;62;44
2306108;466;228;48.9
2308005;664;363;54.7
2308377;278;159;57.2
2309003;280;162;57.9
2309904;157;84;53.5
2312007;439;148;33.7
2312809;179;102;57
2312908;3070;960;31.3
2305803;938;354;37.7
2305902;632;378;59.8
2310951;155;50;32.3
2311009;299;204;68.2
2311702;375;144;38.4
2313955;477;170;35.6
2303659;196;89;45.4
2305209;293;68;23.2
2312205;674;268;39.8
2300754;896;696;77.7
2306405;2417;1359;56.2
2313500;842;519;61.6
2310209;477;148;31
2310258;427;90;21.1
2312403;1027;457;44.5
2306306;839;590;70.3
2313559;384;297;77.3
2313757;350;209;59.7
2313807;447;282;63.1
2300903;204;41;20.1
2304608;180;115;63.9
2310704;475;182;38.3
2312601;175;47;26.9
2313351;334;125;37.4
2302800;1040;569;54.7
2303006;337;216;64.1
2306603;436;342;78.4
2310407;208;90;43.3
2300150;268;247;92.2
2301208;518;351;67.8
2301406;291;217;74.6
2302107;637;397;62.3
2302909;322;216;67.1
2305100;140;111;79.3
2306504;285;208;73
2309102;172;72;41.9
2309805;236;165;69.9
2310100;189;108;57.1
2311603;511;261;51.1
2301950;331;113;34.1
2303956;391;318;81.3
2309458;431;265;61.5
2302206;675;307;45.5
2303501;1038;642;61.8
2310852;280;215;76.8
2301000;1000;541;54.1
2303709;4664;2142;45.9
2304285;1236;651;52.7
2304400;32353;9521;29.4
2306256;774;527;68.1
2304954;418;188;45
2307650;3103;1053;33.9
2307700;1475;757;51.3
2309706;873;563;64.5
2305233;978;396;40.5
2309607;925;416;45
2301257;319;223;69.9
2304103;1388;913;65.8
2305605;418;119;28.5
2305654;220;143;65
2308609;672;564;83.9
2309300;724;405;55.9
2309409;487;381;78.2
2311264;548;422;77
2313203;482;184;38.2
2301851;307;176;57.3
2302404;825;579;70.2
2303931;184;119;64.7
2305266;176;69;39.2
2307635;337;195;57.9
2311306;1189;558;46.9
2311405;1161;608;52.4
2300408;216;144;66.7
2301505;201;107;53.2
2303600;141;65;46.1
2310308;635;435;68.5
2311900;255;150;58.8
2313302;900;577;64.1
2300309;735;369;50.2
2304269;150;82;54.7
2308351;199;133;66.8
2308500;532;264;49.6
2310506;648;342;52.8
2310902;176;136;77.3
2312700;322;129;40.1
2313005;289;201;69.6
2301109;1008;456;45.2
2304459;208;161;77.4
2305357;227;147;64.8
2306207;135;63;46.7
2300705;288;198;68.8
2305332;191;119;62.3
2307007;490;153;31.2
2307601;861;237;27.5
2308708;771;273;35.4
2310001;136;95;69.9
2311504;299;138;46.2
2311801;1120;611;54.6
2312502;109;70;64.2
2313104;402;202;50.2
2306702;266;129;48.5
2306801;252;107;42.5
2306900;490;241;49.2
2304277;111;52;46.8
2306009;229;150;65.5
2310803;352;198;56.2
2311231;128;96;75
2303808;372;49;13.2
2305407;1020;549;53.8
2305506;1371;565;41.2
2309508;273;155;56.8
2311355;281;173;61.6
2300804;144;64;44.4
2303303;220;136;61.8
2307403;398;187;47
2313252;110;19;17.3
2314003;642;188;29.3
2301802;133;56;42.1
2305704;232;98;42.2
2307502;478;187;39.1
2313708;161;96;59.6
2301307;353;190;53.8
2301604;423;279;66
2302701;476;107;22.5
2311207;137;40;29.2
2311959;407;296;72.7
2300606;152;59;38.8
2303204;572;252;44.1
2304301;352;153;43.5
2304806;122;80;65.6
2301703;356;137;38.5
2302008;324;131;40.4
2308104;732;296;40.4
2301901;1028;322;31.3
2304202;2051;634;30.9
2307106;458;200;43.7
2307304;4377;1283;29.3
2308401;657;230;35
2309201;281;168;59.8
2311108;292;135;46.2
2312106;300;139;46.3
2300101;194;57;29.4
2302503;793;440;55.5
2307205;171;105;61.4
2308302;453;201;44.4
2310605;192;78;40.6
2401107;316;102;32.3
2401453;308;140;45.5
2411056;79;45;57
2404408;122;74;60.7
2408003;3521;766;21.8
2413359;193;33;17.1
2401008;472;86;18.2
2402303;306;199;65
2403707;99;54;54.5
2404309;170;63;37.1
2401305;143;83;58
2414456;62;25;40.3
2405207;75;42;56
2407609;54;35;64.8
2408706;76;22;28.9
2414605;153;55;35.9
2400208;624;77;12.3
2400703;218;133;61
2402501;145;66;45.5
2410256;92;51;55.4
2404705;239;70;29.3
2404853;98;41;41.8
2406106;257;74;28.8
2409902;167;80;47.9
2412807;90;23;25.6
2400406;39;7;17.9
2402907;61;24;39.3
2403202;121;48;39.7
2403301;85;70;82.4
2407252;55;7;12.7
2407005;136;37;27.2
2410801;57;32;56.1
2412500;262;39;14.9
2414753;69;6;8.7
2400505;159;86;54.1
2403905;39;21;53.8
2404903;87;33;37.9
2406007;61;11;18
2407302;108;30;27.8
2408607;54;21;38.9
2409407;486;95;19.5
2410009;49;20;40.8
2410207;126;38;30.2
2410504;67;27;40.3
2410702;59;32;54.2
2411007;65;9;13.8
2411908;58;35;60.3
2413607;98;22;22.4
2413805;31;9;29
2414100;150;79;52.7
2414902;31;17;54.8
2400604;76;26;34.2
2400901;95;26;27.4
2404002;88;66;75
2405900;48;33;68.8
2406908;65;38;58.5
2407401;129;40;31
2413557;88;47;53.4
2408409;65;46;70.8
2409308;149;76;51
2410603;66;29;43.9
2414506;185;78;42.2
2404101;59;18;30.5
2404507;222;26;11.7
2407203;434;149;34.3
2411601;73;52;71.2
2401859;81;32;39.5
2400307;145;36;24.8
2400802;147;67;45.6
2403756;43;23;53.5
2401909;56;31;55.4
2405504;47;19;40.4
2406700;144;50;34.7
2409605;35;15;42.9
2409704;127;40;31.5
2402709;123;56;45.5
2414159;122;44;36.1
2403806;117;16;13.7
2406502;202;77;38.1
2411403;169;63;37.3
2401651;47;4;8.5
2413003;73;33;45.2
2402006;1048;356;34
2404804;31;6;19.4
2405603;171;65;38
2411809;63;40;63.5
